Ticker
SHEL LN Equity
AZN LN Equity
HSBA LN Equity
ULVR LN Equity
GSK LN Equity
DGE LN Equity
BP/ LN Equity
BATS LN Equity
GLEN LN Equity
RIO LN Equity
NG/ LN Equity
REL LN Equity
RKT LN Equity
AAL LN Equity
VOD LN Equity
CPG LN Equity
LLOY LN Equity
LSEG LN Equity
PRU LN Equity
